,name,lat,long,datetime,gauge,year,month,day,hour,abs hours
0,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-09-00,-0.15,2017,1,9,0,192
1,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-10-03,1.4975,2017,1,10,3,219
2,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-10-04,1.5616666666666668,2017,1,10,4,220
3,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-10-05,1.566666666666667,2017,1,10,5,221
4,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-10-06,1.5583333333333336,2017,1,10,6,222
5,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-10-07,1.55,2017,1,10,7,223
6,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-11-00,1.5258333333333332,2017,1,11,0,240
7,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-11-01,1.5066666666666668,2017,1,11,1,241
8,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-11-02,1.485,2017,1,11,2,242
9,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-11-03,1.4858333333333336,2017,1,11,3,243
10,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-11-04,1.4574999999999998,2017,1,11,4,244
11,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-11-05,1.4425,2017,1,11,5,245
12,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-11-06,1.4283333333333335,2017,1,11,6,246
13,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-11-07,1.4233333333333331,2017,1,11,7,247
14,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-12-00,1.4058333333333335,2017,1,12,0,264
15,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-12-01,1.405,2017,1,12,1,265
16,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-12-02,1.3841666666666665,2017,1,12,2,266
17,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-12-03,1.3783333333333336,2017,1,12,3,267
18,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-12-04,1.3616666666666666,2017,1,12,4,268
19,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-12-05,1.3416666666666668,2017,1,12,5,269
20,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-12-06,1.3466666666666665,2017,1,12,6,270
21,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-12-07,1.3599999999999997,2017,1,12,7,271
22,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-13-00,1.345,2017,1,13,0,288
23,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-13-01,1.3316666666666668,2017,1,13,1,289
24,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-13-02,1.324166666666667,2017,1,13,2,290
25,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-13-03,1.3050000000000002,2017,1,13,3,291
26,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-13-04,1.2866666666666666,2017,1,13,4,292
27,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-13-05,1.29,2017,1,13,5,293
28,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-13-06,1.2958333333333334,2017,1,13,6,294
29,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-13-07,1.3275000000000001,2017,1,13,7,295
30,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-14-00,1.3233333333333335,2017,1,14,0,312
31,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-14-01,1.316666666666667,2017,1,14,1,313
32,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-14-02,1.2883333333333333,2017,1,14,2,314
33,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-14-03,1.2866666666666666,2017,1,14,3,315
34,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-14-04,1.2774999999999999,2017,1,14,4,316
35,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-14-05,1.2808333333333333,2017,1,14,5,317
36,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-14-06,1.2766666666666666,2017,1,14,6,318
37,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-14-07,1.2724999999999997,2017,1,14,7,319
38,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-15-00,1.2716666666666665,2017,1,15,0,336
39,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-15-01,1.2566666666666666,2017,1,15,1,337
40,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-15-02,1.25,2017,1,15,2,338
41,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-15-03,1.2491666666666668,2017,1,15,3,339
42,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-15-04,1.2075,2017,1,15,4,340
43,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-15-05,1.2325000000000002,2017,1,15,5,341
44,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-15-06,1.2541666666666667,2017,1,15,6,342
45,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-15-07,1.2766666666666666,2017,1,15,7,343
46,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-16-00,1.2674999999999998,2017,1,16,0,360
47,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-16-01,1.2425,2017,1,16,1,361
48,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-16-02,1.2316666666666667,2017,1,16,2,362
49,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-16-03,1.2291666666666667,2017,1,16,3,363
50,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-16-04,1.2433333333333334,2017,1,16,4,364
51,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-16-05,1.235,2017,1,16,5,365
52,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-16-06,1.2325000000000002,2017,1,16,6,366
53,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-16-07,1.2366666666666666,2017,1,16,7,367
54,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-17-00,1.2458333333333333,2017,1,17,0,384
55,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-17-01,1.2441666666666669,2017,1,17,1,385
56,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-17-02,1.2641666666666664,2017,1,17,2,386
57,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-17-03,1.29,2017,1,17,3,387
58,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-17-04,1.2933333333333332,2017,1,17,4,388
59,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-17-05,1.3125000000000002,2017,1,17,5,389
60,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-17-06,1.3616666666666666,2017,1,17,6,390
61,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-17-07,1.5574999999999999,2017,1,17,7,391
62,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-18-00,2.041666666666667,2017,1,18,0,408
63,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-18-01,3.0875,2017,1,18,1,409
64,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-18-02,4.301666666666667,2017,1,18,2,410
65,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-18-03,5.046666666666667,2017,1,18,3,411
66,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-18-04,5.200833333333334,2017,1,18,4,412
67,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-18-05,5.0616666666666665,2017,1,18,5,413
68,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-18-06,4.921666666666666,2017,1,18,6,414
69,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-18-07,4.766666666666667,2017,1,18,7,415
70,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-19-00,4.6175,2017,1,19,0,432
71,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-19-01,4.5058333333333325,2017,1,19,1,433
72,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-19-02,4.370833333333333,2017,1,19,2,434
73,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-19-03,4.251666666666666,2017,1,19,3,435
74,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-19-04,4.13,2017,1,19,4,436
75,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-19-05,4.0325,2017,1,19,5,437
76,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-19-06,3.935000000000001,2017,1,19,6,438
77,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-19-07,3.8525000000000005,2017,1,19,7,439
78,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-20-00,3.7616666666666667,2017,1,20,0,456
79,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-20-01,3.680833333333334,2017,1,20,1,457
80,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-20-02,3.6041666666666665,2017,1,20,2,458
81,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-20-03,3.5250000000000004,2017,1,20,3,459
82,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-20-04,3.4924999999999997,2017,1,20,4,460
83,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-20-05,3.395833333333334,2017,1,20,5,461
84,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-20-06,3.309999999999999,2017,1,20,6,462
85,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-20-07,3.266666666666667,2017,1,20,7,463
86,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-21-00,3.1983333333333337,2017,1,21,0,480
87,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-21-01,3.138333333333333,2017,1,21,1,481
88,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-21-02,3.0783333333333336,2017,1,21,2,482
89,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-21-03,3.029166666666667,2017,1,21,3,483
90,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-21-04,2.998333333333333,2017,1,21,4,484
91,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-21-05,2.966666666666667,2017,1,21,5,485
92,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-21-06,2.9975000000000005,2017,1,21,6,486
93,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-21-07,2.998333333333333,2017,1,21,7,487
94,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-22-00,2.9625,2017,1,22,0,504
95,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-22-01,2.920833333333333,2017,1,22,1,505
96,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-22-02,2.9025,2017,1,22,2,506
97,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-22-03,2.8858333333333337,2017,1,22,3,507
98,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-22-04,2.855833333333333,2017,1,22,4,508
99,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-22-05,2.8158333333333334,2017,1,22,5,509
100,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-22-06,2.7783333333333338,2017,1,22,6,510
101,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-22-07,2.7533333333333334,2017,1,22,7,511
102,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-23-00,2.7183333333333337,2017,1,23,0,528
103,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-23-01,2.6875,2017,1,23,1,529
104,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-23-02,2.6575,2017,1,23,2,530
105,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-23-03,2.6325000000000003,2017,1,23,3,531
106,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-23-04,2.598333333333333,2017,1,23,4,532
107,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-23-05,2.579166666666666,2017,1,23,5,533
108,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-23-06,2.544166666666666,2017,1,23,6,534
109,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-23-07,2.518333333333333,2017,1,23,7,535
110,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-24-00,2.4783333333333335,2017,1,24,0,552
111,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-24-01,2.4533333333333336,2017,1,24,1,553
112,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-24-02,2.4158333333333335,2017,1,24,2,554
113,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-24-03,2.3983333333333334,2017,1,24,3,555
114,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-24-04,2.3825000000000003,2017,1,24,4,556
115,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-24-05,2.3508333333333336,2017,1,24,5,557
116,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-24-06,2.333333333333333,2017,1,24,6,558
117,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-24-07,2.2983333333333333,2017,1,24,7,559
118,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-25-00,2.2891666666666666,2017,1,25,0,576
119,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-25-01,2.2616666666666667,2017,1,25,1,577
120,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-25-02,2.2441666666666666,2017,1,25,2,578
121,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-25-03,2.2258333333333336,2017,1,25,3,579
122,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-25-04,2.2083333333333335,2017,1,25,4,580
123,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-25-05,2.183333333333334,2017,1,25,5,581
124,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-25-06,2.1616666666666666,2017,1,25,6,582
125,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-25-07,2.1508333333333334,2017,1,25,7,583
126,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-26-00,2.1291666666666664,2017,1,26,0,600
127,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-26-01,2.1075000000000004,2017,1,26,1,601
128,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-26-02,2.0958333333333337,2017,1,26,2,602
129,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-26-03,2.075,2017,1,26,3,603
130,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-26-04,2.0591666666666666,2017,1,26,4,604
131,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-26-05,2.045,2017,1,26,5,605
132,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-26-06,2.0391666666666666,2017,1,26,6,606
133,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248432,-122.07341370000002,2017-01-26-07,2.0199999999999996,2017,1,26,7,607
