,name,datetime,lat,long,gauge,year,month,day,hour,abs hours
0,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",2017-01-09-00,45.1248432,-122.07341370000002,-0.15,2017,01,09,00,192
1,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",2017-01-10-09,45.1248432,-122.07341370000002,1.4975,2017,01,10,09,225
2,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",2017-01-10-12,45.124843199999994,-122.0734137,1.5616666666666668,2017,01,10,12,228
3,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",2017-01-10-15,45.124843199999994,-122.0734137,1.566666666666667,2017,01,10,15,231
4,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",2017-01-10-18,45.124843199999994,-122.0734137,1.5583333333333336,2017,01,10,18,234
5,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",2017-01-10-21,45.124843199999994,-122.0734137,1.55,2017,01,10,21,237
6,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",2017-01-11-00,45.124843199999994,-122.0734137,1.5258333333333332,2017,01,11,00,240
7,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",2017-01-11-03,45.124843199999994,-122.0734137,1.5066666666666668,2017,01,11,03,243
8,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",2017-01-11-06,45.124843199999994,-122.0734137,1.485,2017,01,11,06,246
9,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",2017-01-11-09,45.124843199999994,-122.0734137,1.4858333333333336,2017,01,11,09,249
10,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",2017-01-11-12,45.124843199999994,-122.0734137,1.4574999999999998,2017,01,11,12,252
11,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",2017-01-11-15,45.124843199999994,-122.0734137,1.4425,2017,01,11,15,255
12,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",2017-01-11-18,45.124843199999994,-122.0734137,1.4283333333333335,2017,01,11,18,258
