,name,datetime,lat,long,gauge,year,month,day,hour,abs hours
6026,"MOLALLA RIVER NEAR CANBY, OR",2017-01-05-00,45.24428767,-122.687314,11.61,2017,01,05,00,96
6027,"MOLALLA RIVER NEAR CANBY, OR",2017-01-05-03,45.24428767,-122.687314,11.58,2017,01,05,03,99
6028,"MOLALLA RIVER NEAR CANBY, OR",2017-01-05-06,45.24428767,-122.687314,11.565833333333332,2017,01,05,06,102
6029,"MOLALLA RIVER NEAR CANBY, OR",2017-01-05-09,45.24428767,-122.687314,11.542499999999999,2017,01,05,09,105
6030,"MOLALLA RIVER NEAR CANBY, OR",2017-01-05-12,45.24428767,-122.687314,11.528333333333334,2017,01,05,12,108
6031,"MOLALLA RIVER NEAR CANBY, OR",2017-01-05-15,45.24428767,-122.687314,11.520000000000001,2017,01,05,15,111
6032,"MOLALLA RIVER NEAR CANBY, OR",2017-01-05-18,45.24428767,-122.687314,11.524999999999999,2017,01,05,18,114
6033,"MOLALLA RIVER NEAR CANBY, OR",2017-01-05-21,45.24428767,-122.687314,11.519166666666665,2017,01,05,21,117
6034,"MOLALLA RIVER NEAR CANBY, OR",2017-01-06-00,45.24428767,-122.687314,11.510833333333332,2017,01,06,00,120
6035,"MOLALLA RIVER NEAR CANBY, OR",2017-01-06-03,45.24428767,-122.687314,11.473333333333334,2017,01,06,03,123
6036,"MOLALLA RIVER NEAR CANBY, OR",2017-01-06-06,45.24428767,-122.687314,11.445833333333333,2017,01,06,06,126
6037,"MOLALLA RIVER NEAR CANBY, OR",2017-01-06-09,45.24428767,-122.687314,11.439166666666667,2017,01,06,09,129
6038,"MOLALLA RIVER NEAR CANBY, OR",2017-01-06-12,45.24428767,-122.687314,11.466666666666667,2017,01,06,12,132
6039,"MOLALLA RIVER NEAR CANBY, OR",2017-01-06-15,45.24428767,-122.687314,11.465000000000002,2017,01,06,15,135
6040,"MOLALLA RIVER NEAR CANBY, OR",2017-01-06-18,45.24428767,-122.687314,11.443333333333335,2017,01,06,18,138
6041,"MOLALLA RIVER NEAR CANBY, OR",2017-01-06-21,45.24428767,-122.687314,11.4475,2017,01,06,21,141
6042,"MOLALLA RIVER NEAR CANBY, OR",2017-01-07-00,45.24428767,-122.687314,11.444999999999999,2017,01,07,00,144
6043,"MOLALLA RIVER NEAR CANBY, OR",2017-01-07-03,45.24428767,-122.687314,11.4275,2017,01,07,03,147
6044,"MOLALLA RIVER NEAR CANBY, OR",2017-01-07-06,45.24428767,-122.687314,11.418333333333335,2017,01,07,06,150
6045,"MOLALLA RIVER NEAR CANBY, OR",2017-01-07-09,45.24428767,-122.687314,11.413333333333334,2017,01,07,09,153
6046,"MOLALLA RIVER NEAR CANBY, OR",2017-01-07-12,45.24428767,-122.687314,11.402500000000002,2017,01,07,12,156
6047,"MOLALLA RIVER NEAR CANBY, OR",2017-01-07-15,45.24428767,-122.687314,11.414166666666667,2017,01,07,15,159
6048,"MOLALLA RIVER NEAR CANBY, OR",2017-01-07-18,45.24428767,-122.687314,11.405833333333334,2017,01,07,18,162
6049,"MOLALLA RIVER NEAR CANBY, OR",2017-01-07-21,45.24428767,-122.687314,11.402499999999998,2017,01,07,21,165
6050,"MOLALLA RIVER NEAR CANBY, OR",2017-01-08-00,45.24428767,-122.687314,11.410833333333334,2017,01,08,00,168
6051,"MOLALLA RIVER NEAR CANBY, OR",2017-01-08-03,45.24428767,-122.687314,11.3925,2017,01,08,03,171
6052,"MOLALLA RIVER NEAR CANBY, OR",2017-01-08-06,45.24428767,-122.687314,11.393333333333333,2017,01,08,06,174
6053,"MOLALLA RIVER NEAR CANBY, OR",2017-01-08-09,45.24428767,-122.687314,11.4,2017,01,08,09,177
6054,"MOLALLA RIVER NEAR CANBY, OR",2017-01-08-12,45.24428767,-122.687314,11.409166666666664,2017,01,08,12,180
6055,"MOLALLA RIVER NEAR CANBY, OR",2017-01-08-15,45.24428767,-122.687314,11.455833333333333,2017,01,08,15,183
6056,"MOLALLA RIVER NEAR CANBY, OR",2017-01-08-18,45.24428767,-122.687314,11.550000000000002,2017,01,08,18,186
6057,"MOLALLA RIVER NEAR CANBY, OR",2017-01-08-21,45.24428767,-122.687314,11.676666666666668,2017,01,08,21,189
6058,"MOLALLA RIVER NEAR CANBY, OR",2017-01-09-00,45.24428767,-122.687314,11.918333333333335,2017,01,09,00,192
6059,"MOLALLA RIVER NEAR CANBY, OR",2017-01-09-03,45.24428767,-122.687314,12.235833333333334,2017,01,09,03,195
6060,"MOLALLA RIVER NEAR CANBY, OR",2017-01-09-06,45.24428767,-122.687314,12.43,2017,01,09,06,198
6061,"MOLALLA RIVER NEAR CANBY, OR",2017-01-09-09,45.24428767,-122.687314,12.466666666666667,2017,01,09,09,201
6062,"MOLALLA RIVER NEAR CANBY, OR",2017-01-09-12,45.24428767,-122.687314,12.526666666666666,2017,01,09,12,204
6063,"MOLALLA RIVER NEAR CANBY, OR",2017-01-09-15,45.24428767,-122.687314,12.593333333333334,2017,01,09,15,207
6064,"MOLALLA RIVER NEAR CANBY, OR",2017-01-09-18,45.24428767,-122.687314,12.631666666666668,2017,01,09,18,210
6065,"MOLALLA RIVER NEAR CANBY, OR",2017-01-09-21,45.24428767,-122.687314,12.633333333333335,2017,01,09,21,213
6066,"MOLALLA RIVER NEAR CANBY, OR",2017-01-10-00,45.24428767,-122.687314,12.624166666666667,2017,01,10,00,216
6067,"MOLALLA RIVER NEAR CANBY, OR",2017-01-10-03,45.24428767,-122.687314,12.619166666666667,2017,01,10,03,219
6068,"MOLALLA RIVER NEAR CANBY, OR",2017-01-10-06,45.24428767,-122.687314,12.626666666666667,2017,01,10,06,222
6069,"MOLALLA RIVER NEAR CANBY, OR",2017-01-10-09,45.24428767,-122.687314,12.656666666666666,2017,01,10,09,225
6070,"MOLALLA RIVER NEAR CANBY, OR",2017-01-10-12,45.24428767,-122.687314,12.674166666666666,2017,01,10,12,228
6071,"MOLALLA RIVER NEAR CANBY, OR",2017-01-10-15,45.24428767,-122.687314,12.714166666666666,2017,01,10,15,231
6072,"MOLALLA RIVER NEAR CANBY, OR",2017-01-10-18,45.24428767,-122.687314,12.736666666666666,2017,01,10,18,234
6073,"MOLALLA RIVER NEAR CANBY, OR",2017-01-10-21,45.24428767,-122.687314,12.830833333333333,2017,01,10,21,237
6074,"MOLALLA RIVER NEAR CANBY, OR",2017-01-11-00,45.24428767,-122.687314,12.961666666666666,2017,01,11,00,240
6075,"MOLALLA RIVER NEAR CANBY, OR",2017-01-11-03,45.24428767,-122.687314,13.139166666666666,2017,01,11,03,243
6076,"MOLALLA RIVER NEAR CANBY, OR",2017-01-11-06,45.24428767,-122.687314,13.096666666666666,2017,01,11,06,246
6077,"MOLALLA RIVER NEAR CANBY, OR",2017-01-11-09,45.24428767,-122.687314,13.000000000000002,2017,01,11,09,249
6078,"MOLALLA RIVER NEAR CANBY, OR",2017-01-11-12,45.24428767,-122.687314,12.96416666666667,2017,01,11,12,252
6079,"MOLALLA RIVER NEAR CANBY, OR",2017-01-11-15,45.24428767,-122.687314,12.939166666666667,2017,01,11,15,255
6080,"MOLALLA RIVER NEAR CANBY, OR",2017-01-11-18,45.24428767,-122.687314,12.885833333333336,2017,01,11,18,258
