,name,datetime,lat,long,gauge,year,month,day,hour,abs hours
10895,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-05-00,45.20567189999999,-123.18260469999997,18.1925,2017,01,05,00,96
10896,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-05-03,45.20567189999999,-123.18260469999997,18.11666666666667,2017,01,05,03,99
10897,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-05-06,45.20567189999999,-123.18260469999997,18.0275,2017,01,05,06,102
10898,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-05-09,45.20567189999999,-123.18260469999997,17.945833333333336,2017,01,05,09,105
10899,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-05-12,45.20567189999999,-123.18260469999997,17.85083333333333,2017,01,05,12,108
10900,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-05-15,45.20567189999999,-123.18260469999997,17.757499999999997,2017,01,05,15,111
10901,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-05-18,45.20567189999999,-123.18260469999997,17.669999999999998,2017,01,05,18,114
10902,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-05-21,45.20567189999999,-123.18260469999997,17.583333333333336,2017,01,05,21,117
10903,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-06-00,45.20567189999999,-123.18260469999997,17.499999999999996,2017,01,06,00,120
10904,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-06-03,45.20567189999999,-123.18260469999997,17.42916666666667,2017,01,06,03,123
10905,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-06-06,45.20567189999999,-123.18260469999997,17.3675,2017,01,06,06,126
10906,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-06-09,45.20567189999999,-123.18260469999997,17.315833333333334,2017,01,06,09,129
10907,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-06-12,45.20567189999999,-123.18260469999997,17.278333333333332,2017,01,06,12,132
10908,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-06-15,45.20567189999999,-123.18260469999997,17.217499999999998,2017,01,06,15,135
10909,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-06-18,45.20567189999999,-123.18260469999997,17.150833333333335,2017,01,06,18,138
10910,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-06-21,45.20567189999999,-123.18260469999997,17.080833333333334,2017,01,06,21,141
10911,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-07-00,45.20567189999999,-123.18260469999997,17.01,2017,01,07,00,144
10912,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-07-03,45.20567189999999,-123.18260469999997,16.9575,2017,01,07,03,147
10913,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-07-06,45.20567189999999,-123.18260469999997,16.915000000000003,2017,01,07,06,150
10914,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-07-09,45.20567189999999,-123.18260469999997,16.873333333333335,2017,01,07,09,153
10915,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-07-12,45.20567189999999,-123.18260469999997,16.83583333333333,2017,01,07,12,156
10916,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-07-15,45.20567189999999,-123.18260469999997,16.794999999999998,2017,01,07,15,159
10917,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-07-18,45.20567189999999,-123.18260469999997,16.745833333333334,2017,01,07,18,162
10918,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-07-21,45.20567189999999,-123.18260469999997,16.701666666666668,2017,01,07,21,165
10919,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-08-00,45.20567189999999,-123.18260469999997,16.656666666666666,2017,01,08,00,168
10920,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-08-03,45.20567189999999,-123.18260469999997,16.625,2017,01,08,03,171
10921,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-08-06,45.20567189999999,-123.18260469999997,16.60666666666667,2017,01,08,06,174
10922,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-08-09,45.20567189999999,-123.18260469999997,16.625,2017,01,08,09,177
10923,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-08-12,45.20567189999999,-123.18260469999997,16.69916666666667,2017,01,08,12,180
10924,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-08-15,45.20567189999999,-123.18260469999997,16.810833333333335,2017,01,08,15,183
10925,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-08-18,45.20567189999999,-123.18260469999997,16.962500000000002,2017,01,08,18,186
10926,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-08-21,45.20567189999999,-123.18260469999997,17.199166666666667,2017,01,08,21,189
10927,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-09-00,45.20567189999999,-123.18260469999997,17.768333333333334,2017,01,09,00,192
10928,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-09-03,45.20567189999999,-123.18260469999997,18.765000000000004,2017,01,09,03,195
10929,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-09-06,45.20567189999999,-123.18260469999997,19.95333333333333,2017,01,09,06,198
10930,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-09-09,45.20567189999999,-123.18260469999997,20.94,2017,01,09,09,201
10931,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-09-12,45.20567189999999,-123.18260469999997,21.603333333333335,2017,01,09,12,204
10932,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-09-15,45.20567189999999,-123.18260469999997,22.0425,2017,01,09,15,207
10933,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-09-18,45.20567189999999,-123.18260469999997,22.493333333333336,2017,01,09,18,210
10934,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-09-21,45.20567189999999,-123.18260469999997,23.02,2017,01,09,21,213
10935,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-10-00,45.20567189999999,-123.18260469999997,23.724999999999998,2017,01,10,00,216
10936,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-10-03,45.20567189999999,-123.18260469999997,24.488333333333333,2017,01,10,03,219
10937,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-10-06,45.20567189999999,-123.18260469999997,25.24333333333333,2017,01,10,06,222
10938,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-10-09,45.20567189999999,-123.18260469999997,25.82166666666667,2017,01,10,09,225
10939,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-10-12,45.20567189999999,-123.18260469999997,26.239166666666666,2017,01,10,12,228
10940,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-10-15,45.20567189999999,-123.18260469999997,26.602500000000003,2017,01,10,15,231
10941,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-10-18,45.20567189999999,-123.18260469999997,26.985,2017,01,10,18,234
10942,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-10-21,45.20567189999999,-123.18260469999997,27.341666666666665,2017,01,10,21,237
10943,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-11-00,45.20567189999999,-123.18260469999997,27.60416666666666,2017,01,11,00,240
10944,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-11-03,45.20567189999999,-123.18260469999997,27.786666666666665,2017,01,11,03,243
10945,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-11-06,45.20567189999999,-123.18260469999997,27.938333333333333,2017,01,11,06,246
10946,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-11-09,45.20567189999999,-123.18260469999997,28.03833333333333,2017,01,11,09,249
10947,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-11-12,45.20567189999999,-123.18260469999997,28.0525,2017,01,11,12,252
10948,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-11-15,45.20567189999999,-123.18260469999997,27.966666666666665,2017,01,11,15,255
10949,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-11-18,45.20567189999999,-123.18260469999997,27.78916666666667,2017,01,11,18,258
10950,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-11-21,45.20567189999999,-123.18260469999997,27.540833333333335,2017,01,11,21,261
10951,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-12-00,45.20567189999999,-123.18260469999997,27.27166666666666,2017,01,12,00,264
10952,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-12-03,45.20567189999999,-123.18260469999997,26.98,2017,01,12,03,267
10953,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-12-06,45.20567189999999,-123.18260469999997,26.66083333333333,2017,01,12,06,270
10954,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-12-09,45.20567189999999,-123.18260469999997,26.33083333333333,2017,01,12,09,273
10955,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-12-12,45.20567189999999,-123.18260469999997,25.983333333333334,2017,01,12,12,276
10956,"SOUTH YAMHILL RIVER AT MCMINNVILLE, OR",2017-01-12-15,45.20567189999999,-123.18260469999997,25.62750000000001,2017,01,12,15,279
